Emoji,Unicode Name,Description
💔,Broken Heart,broken heart
🏀,Basketball,playing a hoop game
🧸,Teddy Bear,childhood memory
✏️,Pencil,writing pencil
💔,Broken Heart,unrequited love
💀,Skull,dead inside
⌛,Hourglass Done,waiting over
🔥,Fire,burning coal
🥪,Sandwich,bread sandwich
🍺,Beer Mug,cheers
🙄,Face with Rolling Eyes,here we go
✏️,Pencil,hand
🚽,Toilet,restroom
🥳,Partying Face,joyful
🍺,Beer Mug,bar
✈️,Airplane,trip flight
💻,Laptop,software developer life
😭,Loudly Crying Face,hurting inside
✂️,Scissors,craft scissors
✈️,Airplane,flight
☀️,Sun,morning sun
🚽,Toilet,toilet item
🔌,Electric Plug,charging cable
🪒,Razor,razor grooming
☕,Hot Beverage,hot coffee
📂,Open File Folder,work
💡,Light Bulb,invention
🎸,Guitar,talented guitar player
🔑,Key,unlocking the door
🌈,Rainbow,beautiful nature colors
🎾,Tennis,sports exercise
🔭,Telescope,telescope stars
🔑,Key,access key
🖼️,Framed Picture,wall
🔭,Telescope,sky telescope
⌚,Watch,keeping on track
🧸,Teddy Bear,comfort
🚿,Shower,shower
🥪,Sandwich,lunch deli sandwich
🤡,Clown Face,joking
☕,Hot Beverage,drink tea
📈,Chart Increasing,stock up
🗺️,World Map,map world
🧼,Soap,washing hands
📓,Notebook,notebook pages
❤️,Red Heart,passion and romance
🧬,DNA,dna science
🔨,Hammer,hammer metal
☕,Hot Beverage,cocoa hot
🤔,Thinking Face,wait what
🚂,Locomotive,long distance rail
🧺,Basket,basket farm
🕰️,Mantelpiece Clock,classic
🕯️,Candle,warm glowing light
🛋️,Couch and Lamp,sitting in livingroom
🧺,Basket,farm harvest
💀,Skull,spooky season
📚,Books,source
🍕,Pizza,ordering a large pie
🚽,Toilet,household item
☀️,Sun,sun
🛋️,Couch and Lamp,home
🔔,Bell,metal bell
📑,Bookmark Tabs,organization tool
🍔,Hamburger,grilled meat patty
🛁,Bathtub,tub bath
🌍,Globe Showing Europe-Africa,our planet earth
🚿,Shower,head
😂,Face with Tears of Joy,pure comedy
🕯️,Candle,romantic
🍔,Hamburger,fries
🍦,Soft Serve,treat for kids
🧭,Compass,gear
✏️,Pencil,art
🍰,Shortcake,sugar
🍔,Hamburger,american burger
📏,Straight Ruler,drawing ruler
🛋️,Couch and Lamp,reading light
